HRV,Baseline,Baseline2,Pre-event,Pre-event3,Wilcoxon
features,mean,std,mean,std,p-value
mean_nni,693.07,181.51,796.52,172.12,0
sdnn,40.31,39.31,48.26,56.12,0
sdsd,30.06,31.09,35.71,41.46,0
nni_50,5.98,11.08,5.18,9.73,1
pnni_50,12.29,19.62,13.17,20.98,0.15
nni_20,10.41,15.96,11.18,12.79,0
pnni_20,23.03,28.76,30.88,28.52,0
rmssd,30.13,31.1,35.84,41.63,0
median_nni,692.95,185.06,795.33,175.43,0
range_nni,182.89,195.87,200.92,236.16,0.14
cvsd,0.05,0.06,0.05,0.06,0.49
cvnni,0.06,0.07,0.06,0.08,0.99
mean_hr,93.63,25.22,79.92,18.71,0
max_hr,110.75,40.93,95.07,36.98,0
min_hr,80.68,20.91,69.77,14.91,0
std_hr,6.5,8.53,5.86,8.43,0.09
lf,853.73,1792.05,1354.84,4786.39,0.61
hf,920.49,1991.9,1150.35,3654.94,0.19
lf_hf_ratio,2.89,3.35,2.83,3.75,0.04
lfnu,59.68,22.94,57.73,23.45,0.01
hfnu,40.32,22.94,42.27,23.45,0.01
total_power,2256.24,4217.09,3431.21,10462.78,0.14
vlf,482.02,1043.35,926.02,3323.33,0.01
LFNU,37.83861646,,39.48577907,,
HFNU,40.79752154,,33.52607389,,
VLFNU,21.363862,,26.98814704,,
