driver,ecg_start,ecg_end,trip_start,trip_end
1,23/02/2021 13:09:27.0,28/02/2021 10:09:22.2,24/02/2021 19:19:00.0,26/02/2021 08:43:27.0
2,23/03/2021 12:44:08.0,29/03/2021 05:13:24.2,24/03/2021 06:32:02.0,28/03/2021 15:57:24.0
3,30/03/2021 13:02:38.0,05/04/2021 02:32:36.9,31/03/2021 05:53:21.0,03/04/2021 20:33:56.0
4,30/03/2021 12:29:55.0,04/04/2021 08:19:54.8,31/03/2021 10:17:25.0,31/03/2021 22:51:40.0
5,05/03/2022 12:47:46.0,09/03/2022 11:17:43.8,06/03/2022 08:52:38.0,07/03/2022 14:50:01.0
6,31/03/2022 12:50:55.0,05/04/2022 21:20:50.7,01/04/2022 19:36:51.0,04/04/2022 01:34:15.0
7,02/02/2021 13:19:19.0,07/02/2021 12:58:30.1,03/02/2021 05:52:20.0,06/02/2021 11:56:40.0
8,06/02/2021 14:06:35.0,10/02/2021 09:56:33.5,07/02/2021 06:13:42.0,10/02/2021 01:25:08.0
9,11/05/2021 13:17:38.0,16/05/2021 03:47:37.4,12/05/2021 12:29:00.0,13/05/2021 00:20:10.0
11,26/03/2021 05:27:28.0,29/03/2021 03:37:22.8,26/03/2021 22:17:44.0,29/03/2021 07:02:37.0
12,02/10/2021 12:31:56.0,09/10/2021 00:21:51.4,04/10/2021 05:53:48.0,07/10/2021 06:56:06.0
13,04/10/2020 13:41:13.0,09/10/2020 18:11:12.1,05/10/2020 21:38:23.0,09/10/2020 05:23:26.0
14,02/03/2021 14:11:30.0,07/03/2021 14:11:29.8,03/03/2021 08:52:09.0,04/03/2021 11:07:56.0
15,15/01/2021 13:35:00.0,20/01/2021 13:34:59.2,16/01/2021 08:44:38.0,20/01/2021 14:47:47.0
16,25/04/2021 13:18:35.0,01/05/2021 01:48:33.7,26/04/2021 06:19:23.0,30/04/2021 16:50:16.0
18,28/03/2022 13:08:20.0,03/04/2022 01:18:18.3,29/03/2022 12:09:27.0,01/04/2022 22:08:10.0
19,11/05/2021 12:42:43.0,16/05/2021 22:12:25.0,13/05/2021 20:01:51.0,14/05/2021 05:28:10.0
20,04/05/2021 12:31:19.0,09/05/2021 12:31:18.3,05/05/2021 06:15:02.0,07/05/2021 07:53:00.0
21,04/05/2021 13:14:33.0,07/05/2021 21:54:31.4,05/05/2021 11:09:30.0,06/05/2021 20:40:52.0
22,24/05/2022 10:23:18.0,29/05/2022 09:03:16.7,25/05/2022 07:58:02.0,27/05/2022 10:42:44.0
23,02/03/2021 12:56:25.0,07/03/2021 12:56:24.8,05/03/2021 03:42:32.0,08/03/2021 02:36:17.0
24,06/03/2022 12:22:14.0,07/03/2022 15:12:10.8,07/03/2022 07:30:37.0,10/03/2022 22:50:37.0
25,06/02/2021 13:31:15.0,11/02/2021 04:21:13.7,08/02/2021 10:41:25.0,10/02/2021 11:59:48.0
26,05/03/2022 12:40:18.0,10/03/2022 20:00:18.0,06/03/2022 06:37:14.0,09/03/2022 17:35:58.0
27,25/04/2021 12:31:09.0,01/05/2021 17:31:07.9,27/04/2021 08:41:09.0,30/04/2021 11:41:20.0
28,05/10/2021 13:51:23.0,10/10/2021 10:11:22.6,06/10/2021 07:41:57.0,07/10/2021 07:46:09.0
29,24/04/2022 12:47:17.0,30/04/2022 18:51:30.2,25/04/2022 18:09:15.0,28/04/2022 23:55:53.0
30,14/04/2021 04:30:50.0,18/04/2021 14:40:49.0,14/04/2021 13:37:38.0,16/04/2021 19:47:43.0
31,15/12/2020 14:07:19.0,20/12/2020 14:07:18.0,15/12/2020 09:07:45.0,19/12/2020 14:43:32.0
